Title,Rank,Rating,Reviews,Amenities,RoomFeatures,RoomTypes,Class,Style,Description,Website,Offers,Covid,Location,Cleanliness,Value,Service,Walkscore,Restaurants,Attractions,ImageCount,Price
Shore Hotel,#1,4.5,"4,206","['Electric vehicle charging station', 'Free High Speed Internet (WiFi)', 'Breakfast in the room', 'Beach', 'Bicycles available', ""Children's television networks"", 'Highchairs available', 'Pets Allowed ( Dog / Pet Friendly )', 'Valet parking', 'Paid private parking on-site', 'Wifi', 'Complimentary instant cofffee', 'Complimentary tea', ""Kids' meals"", 'Snack bar', 'Vending machine', 'Car hire', 'Taxi service', 'Business Center with Internet Access', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Outdoor fireplace', 'Outdoor furniture', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']","['Air conditioning', 'Desk', 'Housekeeping', 'Interconnected rooms available', 'Minibar', 'Cable / satellite TV', 'Sofa bed', 'Walk-in shower', 'Private balcony', 'Safe', 'Seating area', 'Sofa', 'Telephone', 'Wardrobe / closet', 'Clothes rack', 'Iron', 'Laptop safe', 'Wake-up service / alarm clock', 'Refrigerator', 'Flatscreen TV', 'Radio', 'Complimentary toiletries', 'Hair dryer']","['Ocean view', 'City view', 'Pool view', 'Non-smoking rooms', 'Suites']",4.0,"['Value', 'Great View']","The essence of legendary 5 star customer service and breath taking ocean views Shore Hotel celebrated our soft opening in early October of 2011 and are proud to be Santa Monica's first and only upscale boutique Gold LEED certified property.Shore Hotel is located on Ocean Avenue in Santa Monica, just steps from the Santa Monica Pier, 3rd Street Promenade, and the city’s popular beaches and shopping districts. Shore Hotel is the newest addition to the coastline—a Gold LEED (Leadership in Energy and Environmental Design) certified property that offers eco-friendly accommodations with stunning views of the Pacific Ocean. Gensler Architecture conceived the Shore Hotel’s California modern design, which features 164 stylishly appointed rooms dressed in beach shades of teal and orange and outfitted with custom-made Teak wood furniture.",0,0,1,5.0,4.5,4.0,4.5,100.0,148.0,35.0,"1,716",325
Hotel Emblem San Francisco,#2,4.5,432,"['Valet parking', 'Wifi', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Conference facilities', 'Meeting rooms', 'Baggage storage', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']","['Bathrobes', 'Desk', 'Housekeeping', 'Room service', 'Safe', 'Seating area', 'Cable / satellite TV', 'Flatscreen TV', 'Sofa', 'Telephone', 'Wardrobe / closet', 'Bottled water', 'Clothes rack', 'Iron', 'Private bathrooms', 'Wake-up service / alarm clock']",['Non-smoking rooms'],4.0,"['Value', 'Quaint']","Check in and leave the status quo behind. Hotel Emblem San Francisco, a Viceroy Urban Retreat in downtown San Francisco, where Nob Hill meets Union Square and the Theater District, is a haven for those that think as boldly as they live. Inspiring conversation in all the right ways, with plenty of modern provocations, Hotel Emblem will feature a cocktail-focused restaurant and 96 vibrant guestrooms. Every corner is designed to spark creativity, from the bar inspired by the Beat Generation, to the book-filled Writer’s Alcove in the lobby, to the eclectic guestrooms, where patterns play and an expressive vibe thrives. This hotel is a muse – and you will be, too. Lend your voice at the weekly poetry slam. Get lost in the flow of nightly live jazz. Tap out a few thoughts on the lobby typewriter.",1,1,1,5.0,5.0,4.5,5.0,100.0,276.0,131.0,316,195
Hampton Inn & Suites Anaheim Resort Convention Center,#3,4.5,438,"['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Pool', 'Fitness Center with Gym / Workout Room', 'Free breakfast', ""Children's television networks"", 'Children Activities (Kid / Family Friendly)', 'Business Center with Internet Access', 'Secured parking', 'Wifi', 'Hot tub', 'Pool / beach towels', 'Outdoor pool', 'Heated pool', 'Bar / lounge', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Highchairs available', 'Meeting rooms', 'Baggage storage', 'Convenience store', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Outdoor furniture', 'Shared lounge / TV area', 'Sun deck', 'ATM on site', 'First aid kit', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Washing machine']","['Blackout curtains', 'Air conditioning', 'Desk', 'Housekeeping', 'Coffee / tea maker', 'Cable / satellite TV', 'Sofa bed', 'Walk-in shower', 'Interconnected rooms available', 'Room service', 'Safe', 'Seating area', 'Sofa', 'Telephone', 'Wardrobe / closet', 'Clothes rack', 'Iron', 'Laptop safe', 'Private bathrooms', 'Tile / marble floor', 'Wake-up service / alarm clock', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Radio', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer']","['City view', 'Pool view', 'Non-smoking rooms', 'Suites', 'Family rooms']",3.0,,"Daily Mandatory Charge will be added to the room rate and includes: California Marketing fee Welcome to the new Hampton Inn & Suites Anaheim Resort Convention Center, located in the Anaheim Resort area. The hotel is a 10-minute walk to the Anaheim Convention Center and just a few blocks from Disney California Adventure® Parks. Other attractions like Knott's Berry Farm, Angel Stadium and Honda Center are just a short drive away. Enjoy signature amenities such as Hampton's free, hot breakfast and free WiFi, available throughout the hotel. Relax in a modern guest room, furnished with a clean and fresh Hampton bed® and ergonomically designed work area. Start your day right with Hampton's free, hot breakfast served every morning. Pick up snacks and essentials at our convenience store, or enjoy free coffee and tea service in the lobby. Work out in the 24-hour fitness center or swim laps in the outdoor pool.",1,1,1,4.5,5.0,4.5,4.5,79.0,100.0,28.0,152,117
Monterey Plaza Hotel & Spa,#4,4.5,"7,633","['Paid private parking nearby', 'Free internet', 'Hot tub', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Beach', 'Bicycle rental', 'Free shuttle or taxi services', 'Parking garage', 'Wifi', 'Paid wifi', 'Sauna', 'Restaurant', 'Breakfast available', 'Diving', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Spa', 'Facial treatments', 'Full body massage', 'Head massage', 'Massage', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Outdoor fireplace', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']","['Air conditioning', 'Housekeeping', 'Private balcony', 'Room service', 'Safe', 'Refrigerator', 'Flatscreen TV', 'On-demand movies', 'Telephone', 'Iron', 'Laptop safe']","['Ocean view', 'Bridal suite', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.0,"['Great View', 'Marina View']","Perched dramatically on historic beachfront property above the crashing surf of the Pacific, Monterey Plaza Hotel & Spa delights its guests with classic, California coastal experiences animated by an irresistible spirit of conviviality and play. Here you’ll be welcomed with warm hospitality and elegantly-appointed guest rooms with thoughtful extras and luxury touches. From our chef-driven oceanfront restaurant, award-winning rooftop luxury spa and prime location steps from charming Cannery Row, our elegant oceanfront hotel is the centerpiece of Monterey Bay.",1,0,1,5.0,5.0,4.5,4.5,94.0,37.0,21.0,"2,125",309
The Hollywood Roosevelt,#5,4.5,"3,118","['Valet parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Hiking', 'Nightclub / DJ', 'Pets Allowed ( Dog / Pet Friendly )', 'Paid private parking on-site', 'Wifi', 'Pool / beach towels', 'Outdoor pool', 'Heated pool', 'Restaurant', 'Breakfast available', 'Poolside bar', 'Car hire', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Spa', 'Massage', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Newspaper', 'Non-smoking hotel', 'Sun loungers / beach chairs', 'Sun terrace', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine']","['Air conditioning', 'Housekeeping', 'Room service', 'Safe', 'VIP room facilities', 'Minibar', 'Flatscreen TV', 'On-demand movies', 'Iron']","['Non-smoking rooms', 'Suites']",4.0,"['Historic Hotel', 'Classic']","From The Tower, built in 1927, where Gable and Lombard lived, to The Cabanas, vintage 1950s, where Marilyn Monroe lived, guests have two distinct accommodations options. The Tower has undergone a 25 million dollar renovation designed by Yabu Pushelberg. The Tower rooms have larger work desks and are suited for guests traveling on business or with families. The Cabanas are just footsteps from the renowned David Hockney pool and the Tropicana Pool Cafe, which is open until 2am. The Cabanas are suited for guests looking for an entertaining and lively Hollywood experience.",1,1,1,5.0,4.5,4.0,4.5,100.0,119.0,50.0,"2,409",299
The Anaheim Hotel,#6,4.5,718,"['Electric vehicle charging station', 'Free High Speed Internet (WiFi)', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bowling offsite', 'Walking tours', ""Children's playground"", 'Paid private parking on-site', 'Secured parking', 'Wifi', 'Paid internet', 'Hot tub', 'Pool / beach towels', 'Outdoor pool', 'Heated pool', 'Shallow end in pool', 'Fence around pool', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Happy hour', ""Kids' meals"", 'Vending machine', 'Board games / puzzles', 'Children Activities (Kid / Family Friendly)', ""Kids' outdoor play equipment"", 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Photo copier / fax In business center', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Non-smoking hotel', 'Outdoor furniture', 'Shared lounge / TV area', 'Sun loungers / beach chairs', 'Sun umbrellas', 'ATM on site', 'First aid kit', 'Umbrella', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Washing machine']","['Blackout curtains', 'Air conditioning', 'Desk', 'Housekeeping', 'Interconnected rooms available', 'Coffee / tea maker', 'Cable / satellite TV', 'Walk-in shower', 'Private balcony', 'Room service', 'Safe', 'Telephone', 'Wardrobe / closet', 'Clothes rack', 'Iron', 'Laptop safe', 'Wake-up service / alarm clock', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Radio', 'iPod docking station', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer']","['Landmark view', 'Non-smoking rooms', 'Suites', 'Family rooms']",3.0,['Centrally Located'],"This unique resort-style hotel offers the following features: LOCATION: Directly across the main entrance to Disneyland(R). Adjacent to Anaheim Garden Walk. Two blocks from the Anaheim Convention Center. Two-story apartment-style buildings on nine acres of landscaped gardens and walkways. ROOMS: Large rooms, some with patio or balcony. FAMILY SUITES: Two connecting rooms for families. WI-FI: Complimentary internet for guests. FOOD & BEVERAGE: Affordable Restaurant, Lounge and Room Service with breakfast, lunch, dinner and late-night offerings. PARKING: Ample parking all around the hotel. POOL: Largest outdoor swimming pool in Anaheim and hot tub. RECREATIONAL AREA: Green outdoor space with corn hole toss and complimentary oversized connect four games to enjoy. FITNESS ROOM: On site gym with machines and free weights. MEETING ROOMS: Over 11,000 sq feet of flexible indoor and outdoor meeting space. VALUE: Unbeatable value for a friendly, full-service, 3-Diamond hotel in Anaheim! UPDATED 3/17/2020: Until further notice as an added precaution, menu is limited to pizza, salads, soft drinks and craft beer. Hours of operation: 11am to 10pm . (Breakfast, room service, bar and pool food service is closed.)",1,0,1,5.0,4.5,4.0,4.5,99.0,58.0,29.0,293,199
Shore Cliff Hotel,#7,4.5,"3,753","['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Free breakfast', 'Patio', ""Children's television networks"", 'Business Center with Internet Access', 'Spa', 'Electric vehicle charging station', 'Parking', 'Wifi', 'Hot tub', 'Pool / beach towels', 'Pool with view', 'Outdoor pool', 'Heated pool', 'Fence around pool', 'Breakfast available', 'Complimentary instant cofffee', 'Vending machine', 'Baggage storage', 'Newspaper', 'Non-smoking hotel', 'Outdoor furniture', 'Picnic area', 'Sun umbrellas', '24-hour front desk']","['Bathrobes', 'Air conditioning', 'Housekeeping', 'Private balcony', 'Safe', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Wake-up service / alarm clock']","['Ocean view', 'Non-smoking rooms', 'Suites', 'Family rooms']",3.5,"['Value', 'Great View']","Perched atop cliffs above the Pacific Ocean in scenic Pismo Beach, Shore Cliff Hotel is a beautiful, newly renovated boutique hotel that is truly spectacular from every point of view. Our all-oceanfront hotel features stylish guestrooms and deluxe suites, each with a private patio or balcony. Here, the ultimate beach escape is made complete with resort-quality amenities and services, like the area’s largest heated oceanfront pool and hot tub, a full bocce ball court and clay tennis court, a fitness room, a business center, and more. As one of the few hotels in Pismo Beach that does not charge a daily resort fee, we take pride in offering our guests complimentary daily continental breakfast, high-speed Fiber Internet connectivity, and parking with access to Tesla Electric Car charging stations, all without an extra charge.",1,0,1,5.0,4.5,4.5,4.5,47.0,231.0,58.0,"1,583",127
Howard Johnson by Wyndham Anaheim Hotel and Water Playground,#8,4.5,"2,003","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Pool', 'Bar / lounge', 'Game room', 'Water park', ""Children's television networks"", 'Kids pool', 'Wifi', 'Hot tub', 'Pool / beach towels', 'Outdoor pool', 'Heated pool', 'Shallow end in pool', 'Fence around pool', 'Restaurant', 'Vending machine', 'Waterslide', ""Kids' outdoor play equipment"", 'Airport transportation', 'Taxi service', 'Business Center with Internet Access', 'Baggage storage', 'Convenience store', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Shops', 'Sun loungers / beach chairs', 'Sun umbrellas', 'Umbrella', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Laundry service', 'Self-serve laundry']","['Blackout curtains', 'Soundproof rooms', 'Air conditioning', 'Housekeeping', 'Private balcony', 'Coffee / tea maker', 'Cable / satellite TV', 'Bath / shower', 'Room service', 'Safe', 'Telephone', 'Iron', 'Private bathrooms', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Radio', 'iPod docking station', 'Complimentary toiletries', 'Hair dryer']","['Non-smoking rooms', 'Suites', 'Family rooms']",3.0,"['Centrally Located', 'Green']","**Please note that reservations are now required for our Castaway Cove and Garden Pool facilities.** Just an 8-minute walk from Disneyland Park, this non-smoking family resort hotel features Castaway Cove - A Watery Pirate Playground! With slides, drench bucket, water canons, jacuzzi, toddler's wading pool and more, Castaway Cove is a great place for your whole family to play together! Also nestled within the lush, park-like grounds is the family friendly Garden Pool! We have completed top-to-bottom renovation of more than 200 guest rooms and our New Garden Pool. With Netflix streaming, microwaves, fridges and free internet- HoJo Anaheim is the perfect choice for your family adventure!",1,1,1,5.0,4.5,4.5,4.5,88.0,18.0,23.0,524,199
Hollywood Hotel,#9,4.0,"3,901","['Electric vehicle charging station', 'Free High Speed Internet (WiFi)', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Boating', 'Diving', ""Children's television networks"", 'Free public parking nearby', 'Paid private parking on-site', 'Secured parking', 'Wifi', 'Pool / beach towels', 'Swimming pool toys', 'Outdoor pool', 'Shallow end in pool', 'Fence around pool', 'Sauna', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Complimentary tea', 'Happy hour', ""Kids' meals"", 'Outdoor dining area', 'Special diet menus', 'Wine / champagne', 'Vending machine', 'Hiking', 'Horseback riding', 'Mini golf', 'Snorkeling', 'Windsurfing', 'Aerobics offsite', 'Bowling offsite', 'Canoeing offsite', 'Entertainment staff', 'Fishing', 'Karaoke', 'Patio', 'Raquetball offsite', 'Squash offsite', 'Tennis court offsite', 'Walking tours', 'Water park offsite', 'Nightclub / DJ', 'Highchairs available', 'Pets Allowed ( Dog / Pet Friendly )', 'Car hire', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Photo copier / fax In business center', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Non-smoking hotel', 'Outdoor furniture', 'Picnic area', 'Sun deck', 'Sun loungers / beach chairs', 'Sun terrace', 'Sun umbrellas', 'ATM on site', 'First aid kit', 'Umbrella', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Washing machine', 'Ironing service']","['Blackout curtains', 'Soundproof rooms', 'Air conditioning', 'Desk', 'Dining area', 'Coffee / tea maker', 'Flatscreen TV', 'Walk-in shower', 'Housekeeping', 'Interconnected rooms available', 'Private balcony', 'Safe', 'Seating area', 'Telephone', 'VIP room facilities', 'Wardrobe / closet', 'Clothes rack', 'Iron', 'Laptop safe', 'Private bathrooms', 'Tile / marble floor', 'Wake-up service / alarm clock', 'Microwave', 'Refrigerator', 'On-demand movies', 'Radio', 'iPod docking station', 'Whirlpool bathtub', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer']","['Mountain view', 'City view', 'Landmark view', 'Pool view', 'Bridal suite', 'Non-smoking rooms', 'Suites', 'Family rooms']",4.0,['Value'],"Hollywood Hotel is Where All the Action Begins! Hollywood Hotel is conveniently located across the street from a Redline Metro ( Subway or Tube ) station at the corner of Vermont Avenue and Santa Monica Blvd.. Hollywood Hotel has just completed a restoration of it's 3000 sq ft courtyard, an outdoor oasis, which can hold up to 100 people. Inspired by the relaxed style of the Mediterranean, the courtyard features all weather vintage country style wicker sofas and lounge chairs, premium teak beam tables and a classic mission style fountain surrounded by giant bird of paradise and flowers. A perfect setting for relaxation and drinks after a day of Hollywood sightseeing.",1,0,1,4.0,4.0,4.0,4.0,81.0,186.0,33.0,"1,736",139
Hotel Corque,#10,4.5,"1,118","['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Bar / lounge', 'Shuttle bus service', 'Business Center with Internet Access', 'Conference facilities', 'Baggage storage', 'Wifi', 'Hot tub', 'Pool / beach towels', 'Outdoor pool', 'Heated pool', 'Restaurant', 'Vending machine', 'Banquet room', 'Meeting rooms', 'Concierge', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']","['Air conditioning', 'Private balcony', 'Room service', 'Safe', 'Iron', 'Wake-up service / alarm clock', 'Refrigerator', 'Flatscreen TV']","['Non-smoking rooms', 'Suites', 'Family rooms']",3.0,['Centrally Located'],"Finding an ideal romantic hotel in Solvang does not have to be difficult. Welcome to Hotel Corque, a nice option for travelers like you.Hotel Corque offers guests an array of room amenities including a flat screen TV, a refrigerator, and air conditioning, and getting online is possible, as free wifi is available.The hotel offers a 24 hour front desk, a concierge, and room service, to make your visit even more pleasant. The property also features a pool and an on-site restaurant. Guests arriving by vehicle have access to free parking.Nearby landmarks such as Visitor Center (0.2 mi) and Bethania Lutheran Church (0.4 mi) make Corque Hotel a great place to stay when visiting Solvang.While in Solvang be sure to experience local shrimp favorites at Root 246, Cecco Ristorante, or Mandarin Touch.If you’re looking for things to do, you can check out Nojoqui Falls Park (0.2 mi), Old Mission Santa Ines (0.2 mi), or Hans Christian Andersen Park (0.5 mi), which are popular attractions amongst tourists, and they are all within walking distance.Hotel Corque puts the best of Solvang at your fingertips, making your stay both relaxing and enjoyable.",0,0,0,4.5,4.5,4.0,4.5,100.0,49.0,47.0,439,148
