username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Christian Patri... A,1,,2021-11-30,FAMILY,2021-11-30,5,"Convenient location, clean facilities, friendly staff. ","Place was convenient for our needs and staff was excellent. Clean facilities from check in counter, to room and bath, breakfast area and laundry room. Location is great for getting to the theme parks. It is located walking distance to many places to eat for when not at the parks. Parking lot was never a hassle to get in and out. Adrian and the rest of the staff offered great and friendly customer service. They were able to accommodate early check in, provided helpful information when asked, and were prompt to respond to requests. Would definitely consider staying here again when needing to visit the nearby theme parks. ",Adrian at the front desk was very helpful and prompted me to do a review which I don't normally do. ,,,,,,,,,,,0
CDWAS,29,Louisiana,2021-07-31,FAMILY,2021-07-22,5,Good Stay But Breakfast Could Be Better,"My family and I recently spent 3 nights at this Hampton Inn in Anaheim.  The location is great, the suites are large, and the staff is professional and friendly.  The only negative for us was the breakfast:  bagel, cream cheese, yogurt, boiled eggs, and juice.  Unfortunately, this meal was served every day that we visited, and I seriously considered deducting a star for this reason.  It is my sincere hope that management at this hotel will improve this area.  Families, such as myself, have come to depend on a decent, filling breakfast from the hotel chains that we know and trust and more effort could be focused in this important area.  There are many choices, such as pre-packaged breakfast sandwiches or cereals and milk that could be provided.  It is disappointing to have to go somewhere else due to the poor selection.  As a health care provider, I fully understand the impact of the pandemic.  However, guest families deserve better.",,,,,,,,Brenna Simpson,Guest Services / Front Office,2021-07-27,"Thank you for taking the time to leave a review CDWAS! We are happy to hear that you enjoyed your overall stay with us.  We appreciate your patience as we navigate the grab and go options during COVID-19 and we are hoping to have our breakfast buffet up and running again soon. We hope to see you again on your next trip to Anaheim!

-Brenna S. 
Reservation Supervisor",11
llatakayama,1,"Mililani, Hawaii",2021-11-30,NONE,2021-11-29,4,Great location to the Toy Story shuttle,"Clean large rooms.  Bunk beds were great.  Family of 5.  Great sliding room door for adult time out from kids LOL!
Hot breakfast -eggs, sausage potatoes, oatmeal, cereal, juice, toast.  Pool, jacuzzi and gym open.",,3.0,4.0,4.0,5.0,5.0,4.0,,,,,0
Redhead84,2,,2021-11-30,COUPLES,2021-11-26,5,Great Service,We had a great experience checking in. Adrian was extremely nice and very helpful. The room is very clean and modern. All you need is a USB cord to charge your phone. The bathroom is very spacious. Will definitely stay here again!,,,,,,,,,,,,0
Joe L,1,"Oakland, California",2021-11-30,FAMILY,2021-11-26,5,Adrian you rock!!,"Upon arriving to the facility, the lobby was very well clean and maintained. Front desk agent Adrian assisted my brother an I with our check in reservations. He was willing to assist in getting another room I requested last minute. Very friendly customer service oriented, and willing to go above and beyond. Adrian also got me in for early check in as requested, that earns him extra brownie points in my book! Keep up the good work my guy! Hampton Inn, you guys have a good working employee in your hands!",Talk to front desk agent Adrian. Very helpful guy.,,,,,,,,,,,0
dbarni13,1,,2021-11-30,NONE,2021-11-20,4,Clean,"This hotel was clean and the staff was friendly.   Easy access to Disneyland via shuttle. Toy Story lot is within walking distance. The beds were a bit firm but ok, we would stay here again.  Breakfast was just okay.              ",,3.0,4.0,3.0,4.0,4.0,4.0,,,,,0
dianefajardo83,1,,2021-11-30,NONE,2021-11-18,4,Disney fun,I chose to stay here because my past Hampton Inn stays have been great. This was no different but I wish I knew about the street noise ahead of time so I could ask for another room or stay at a different Hilton hotel. ,,5.0,5.0,1.0,5.0,5.0,5.0,,,,,0
montesjose88,1,,2021-11-30,NONE,2021-11-13,4,First stay,"The rooms were very good size , the property was clean , breakfast was good , the beds however felt really cheap , the mattress felt really thin and not pillow top , the bathroom and rest of the room was perfect , very clean and neat .",,3.0,4.0,3.0,4.0,4.0,4.0,,,,,1
rubenroblesj,1,"El Paso, Texas",2021-11-30,NONE,2021-11-09,5,Exceptional hotel,The hotel was very clean. The beds were very comfortable and there was plenty of space for luggage.  No contact check-in was nice and convenient. I highly recommend this hotel.  Plus it’s conveniently located near Disneyland.  ,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0
Dylan Trang,7,"Houston, Texas",2021-11-30,NONE,2021-11-07,5,Great Customer Service and Great Hotel!,"My wife and I are so happy that we stayed at this property! It looks very new and the service is great! We would like to personally thank Adrian, Miguel, and their team for the special attention/thought they put in to help celebrate our anniversary and my wife’s birthday. We truly appreciate the nice card and care package/balloons! 

Thank you so much!
DT",,5.0,5.0,5.0,5.0,5.0,5.0,,,,,4
