username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Alex Sico,162,"Calgary, Canada",2021-11-30,NONE,2021-11-28,4,Satisfied overall,"The hotel was in a good location, relatively rapid access to everything we wanted to visit throughout our 4 day stay. The room was clean, and had everything we needed including a mini-fridge (not stocked), microwave, and safe. The stay was reasonably priced, adequate for the service provided. Slept well each night, the bed and pillows were comfortable. My only complaint was the price of the parking. It is gated and safe, but it turned out to be around 120 CAD for our 3 night stay. Various vending machines were available on each floor, which is a nice touch for people who like a quick snack like me. I never got a chance to see the pool or try the breakfast (which I believe was included with the stay) so I cannot comment on that.
Overall I was satisfied and I would return. I recommend this to anyone looking for a good location in LA, and a good night of sleep.","I recommend staying in room on higher up floors, quieter.",4.0,4.0,,5.0,,,,,,,173
Alison Elisabet... L,1,"Guatemala City, Guatemala",2021-11-30,FAMILY,2021-11-20,5,Holiday vacation,"Great place to stay, will definitely stay there again. Its was great not to have to worry about sanitation, the place was immaculate. The staff very friendly, Mr Pil was super nice at the front desk. Can wait to stay here are on our next visit.",,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest

Thank you for taking the time to provide us with your review of our Hotel! 

Please reach out to us at any time should you need anything at all. It will remain our top priority to ensure your fullest satisfaction. 

Sincerely, 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Genevieve W,1,,2021-11-30,FRIENDS,2021-11-20,5,Mini get a away,"Hollywood Hotel certainly has a particular charm definitely not for everyone. I will recommend the luminary rooms. The initial room I booked was a-bit outdated. Easy fix at the front desk, Pil understood our situation and moved us with no problem. Certainly a big asset to this hotel. Classic looking hotel with a modern twist, must stay at least once to get the old Hollywood feel.",,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest

Thank you for taking the time to provide us with your review of our Hotel! 

Please reach out to us at any time should you need anything at all. It will remain our top priority to ensure your fullest satisfaction. 

Sincerely, 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Jennifer Allen,1,,2021-11-30,COUPLES,2021-11-19,5,Great customer service,Pil was amazing ! Super sweet and kind. Made us feel at home. He helped us out with the room and got everything ready. Rooms are amazing. Thank you for being so awesome Pil. We need more people like you!,,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest

Thank you for taking the time to provide us with your review of our Hotel! 

Please reach out to us at any time should you need anything at all. It will remain our top priority to ensure your fullest satisfaction. 

Sincerely, 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Jodie M,1,"Leicester, United Kingdom",2021-11-30,FRIENDS,2021-11-19,5,Girls Trip to USA,"Amazing customer services from Sir Pil Through our 5 night stay. He went beyond what we expected and did it with a positive attitude. He helped us in to our spacious room. The beds are a bit hard but after a few days it worked out. The pool was open but a bit chilly. A bit of a warning, covid cards are asked for all over Los Angeles FYI. The hotel was very close to a lot of restaurants so we didn’t need a car. We loved our stay and can’t wait to be back.",,,,,,,,Gisel Miller,General Manager,2021-11-22,"
Dear Guest

Thank you for taking the time to provide us with your review of our Hotel! 

Please reach out to us at any time should you need anything at all. It will remain our top priority to ensure your fullest satisfaction. 

Sincerely, 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Richard G,1,,2021-11-30,BUSINESS,2021-11-17,5,Great attentive staff,"Great customer service from the staff at the hotel, from the maids that keep the room clean to the very friendly Pil at the front desk. Always with a very charming smile and a welcoming hello. Overall a nice surprise",,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest,

Thank you for your TripAdvisor review. I am delighted to hear what a wonderful time you had during your recent stay with us and I hope to have the pleasure of welcoming you  back to visit us at Hollywood Hotel again soon! 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Luis G,1,,2021-11-30,FAMILY,2021-11-16,5,Nice hotel and service,Pil was amazing throughout our stay. The rooms are big and clean. Pool is open and very clean. Will recommend for all la tripa fo family. Close fo food and universal and many other places fo visif wigh family,,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest,

Thank you for taking the time to share your feedback. We hope to welcome you back to our hotel very soon!

Sincerely,

Gisel Miller 
Hollywood Hotel 
Front Desk Manager ",0
Sandi B.,2,,2021-11-30,FAMILY,2021-11-08,5,Hollywood Hotel,"I was in town visiting my daughter and I really hate to travel but Ivan and Dena at the front desk made me feel right at home. I felt bad for constantly bothering them buy they were so pleasant and always happy to help. The pool and sauna were also great!!
I hope I get to come back.",,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest,

Thank you for your TripAdvisor review. I am delighted to hear what a wonderful time you had during your recent stay with us and I hope to have the pleasure of welcoming you  back to visit us at Hollywood Hotel again soon! 

Gisel Miller 
Hollywood Hotel
Front Office Manager
",0
Dave B,1,,2021-11-30,BUSINESS,2021-11-07,5,"Great Staff, great hotel, great experience","Amazing experience from the minute I walked through the doors! “Pill” from the Front Desk deserves to be Employee Of The Century!  The only part of our stay that sucked, was when we had to check out, because we wanted to stay longer!
Thank you Pill for being so good at what you do!",,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest

Thank you for taking the time to provide us with your review of our Hotel! We are thrilled to hear that you enjoyed your stay with us!

Please reach out to us at any time should you need anything at all. It will remain our top priority to ensure your fullest satisfaction. 

Sincerely, 

Gisel Miller 
Hollywood Hotel
Front Office Manager",0
Nico P,1,,2021-11-30,COUPLES,2021-11-07,5,Awesome care from the HH,The hotel was very accommodating with us very late at night.pil was extra helpful and accommodating. Will return when I'm back in town. The pool and sauna are a plus and the staff service is the best.,,,,,,,,Gisel Miller,General Manager,2021-11-22,"Dear Guest,

Thank you for taking the time to share your feedback. We hope to welcome you back to our hotel very soon!

Sincerely,

Gisel Miller 
Hollywood Hotel 
Front Desk Manager ",0
