username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
nmuir74,3,,2021-11-30,FRIENDS,2021-12-04,5,Great hotel,Very nice hotel in great location with nice rooms and bar and restaurant at front will hopefully return next year for another stay.Pool area is also very nice albeit drinks are overpriced but you don’t need to buy them,,,,,,,,,,,,0
Happylyla,7,,2021-11-30,SOLO,2021-12-04,5,"Iconic hotel- AMAZING pool, great dining, great service","Iconic hotel located on Hollywood Blvd, frequently used for film shoots, after parties, etc.  Sometimes a chance to run into the rich and famous. If not, 100% chance of an incredible 9ft deep heated pool with lots of seating, great food, lots of room options (pool cabana, tower) and super service every time.",,,,,,,,,,,,2
Wander783351,2,,2021-11-30,FRIENDS,2021-12-04,5,Most Helpful Front Desk,"Ive never written a hotel review. But my experience at the Roosevelt prompted me to find this site and share my incredible experience with the most helpful Front Desk. I booked my reservation thru a third party, which would only allow me to book for one night. Because I was traveling with kids and it was all last minute and our first fun trip during Covid, I just took what I could get and showed up. Dustin, the Front Desk specialist, helped me after a long 8 hour drive. He listened to my pathetic story of attempting to book online and then solved all my issues. He figured out my room situation, was super patient, gave me lots of tips. The other Front Desk person, Jose, was also very helpful. Together, they solved what could have been a one night stay and moving around or to another hotel.
We had a terrific time at the Hotel. We had dinner at the very chic Barish, enjoyed the pool scene and the easy walkability to check out Hollywood Boulevard. Traveling with teens is always moody but their moods were great with so many cool things to look at and explore in the actual Hotel. Thank you Dustin and Roosevelt! We’ll see you on the next trip!",,,,,,,,,,,,1
Eiji Isomura,1,,2021-11-30,COUPLES,2021-12-01,5,Best hotel experience!,"This hotel holds so much history! It is a beautifully build hotel!

Our hotel stay was the best we have ever experienced. The hotel services were excellent! The staff was excellent! The hotel manager is running a very fine establishment! I would recommend this hotel to anyone!",,,,,,,,A H,Other,2021-12-03,"Dear EijiIsomura,

We always love hearing from guests who appreciate our deep roots and history here in Hollywood. We are thrilled to know your stay left such a positive impression, and your recommendation means everything to us. Hurry back to see us soon!

Best regards,
Don Jacinto, Managing Director",0
Matthew B,1,,2021-11-30,COUPLES,2021-11-29,5,Matthew Bampton,"My wife and I were extremely  impressed with our recent stay at the Hollywood Roosevelt. From the moment we arrived the staff were more than helpful. It’s original architecture and historical features were fantastic. Rooms were comfortable and sizable. The pool area was awesome with a great playlist, giving of a cool vibe that was fitting for the hotel. The cocktails were exceptional.
The hotel is smack bang in the heart of Hollywood so sight seeing and shopping were all within walking distance. 

We would stay there again in a heartbeat. !!!",,,,,,,,A H,Other,2021-11-30,"Dear Matthew,

Your five-star rating makes our day! Thank you for entrusting us with your vacation experience in Hollywood, allowing our team to pamper you and your wife throughout your stay. We strive to offer all our guests to the VIP treatment, and we are glad we delivered. Join us again soon!

Warmly,
Don Jacinto, Managing Director",0
ladybrady007,200,"Denver, Colorado",2021-11-30,NONE,2021-11-27,5,oasis in the middle of everything,"this was my first stay at the Roosevelt and the property and staff are incredible.  It has a history and style of nothing else and the staff love to tell you about the Academy Awards and marilyn monroe, who once lived here.  The pool is incredible but get there early to get a great seat.   There are a lot of guests who go fully clothed and just stare at their phone, which is obnoxious.  also, their restaurant 25 degrees is really yummy .  I do agree that when there is an event, it can be really unpleasant and we were only leaving the gym early to get to our room but had we come later, it would have been a mess.    it is a great stay!!","don&#39;t stay in cabana rooms if you want to sleep, go in the Tower-and bring snacks",,5.0,,5.0,,5.0,A H,Other,2021-11-29,"Greetings ladybrandy007,

We love knowing we made such a positive impression upon your first visit to the Roosevelt! Thank you for so appreciating our storied history and ambiance, and we are glad you got to the David Hockney pool early to get a comfortable lounge chair for the day. We are glad you enjoyed 25 Degrees, and we appreciate your feedback regarding protocols when our hotel is hosting an event. We look forward to welcoming you back one day soon for another memorable stay!

Warm regards,
Don Jacinto, Managing Director",54
nagsteve,65,"Seattle, Washington",2021-10-31,NONE,2021-11-26,4,Very good and convenient to Hollywood Bowl.,"Nice vintage hotel with rich history of you guessed it...Hollywood.  Situated on a busy, street, sometimes riddled with homeless people wandering aimlessly around.  Hotel room was satisfactory, although the bathroom is quite small.  The staff was very hospitable and set up with champagne and my favorite parisian macaroons!  Class act.   We learned from the concierge that there is a shuttle 2 blocks away that will take guests to the Hollywood Bowl.  That was a bonus that we did not have to fight the crowds with a vehicle.  Hallways are dark and carpet is old, could use some updating.  Overall, recommended stay!",,,,,,,,A H,Other,2021-11-29,"Dear nagsteve,

Thank you for joining us in our vintage hotel ideally located to the Hollywood Bowl. We trust you found sanctuary from the bustle of Hollywood Boulevard within our walls, and it was our pleasure to ensure you were well-supplied with champagne and macaroons! We are glad we could make your commute more convenient, and we hope you will remember us the next time you are attending an event!

Until then,
Don Jacinto Managing Director",67
Lance M,6,,2021-11-30,NONE,2021-11-26,5,Inspiring and Restful,"I came here to have a personal writers retreat in the heart of Hollywood, and this hotel exceeded all my expectations. The room was classic in design, evoking the glamor of old, but it was pristine and clean and had all the modern perks one would hope for, including an impressive minibar and all the outlets you could ask for. The room was surprisingly quiet and the service in the restaurants and lobby was always very professional and friendly. I got a ton of writing done and I also enjoyed the local area on my breaks, just as I'd hoped. They delivered on their promise. I will definitely stay here again.","The corner room had great views of the boulevard, yet was also quiet.",5.0,5.0,,,,5.0,A H,Other,2021-11-29,"Dear Lance,

What a pleasure to find your five-star review waiting for us! We love knowing you found peace and inspiration with us during your personal writer's retreat, amid our glamour and modern conveniences. We are glad you plan to make a habit out of getting your creative juices flowing at the Roosevelt! Please don't hesitate to reach out should there be anything I can do to help facilitate your next reservation.

Warmly,
Don Jacinto, Managing Director",1
Carissa B,2,,2021-11-30,COUPLES,2021-11-25,2,Don’t stay here if there’s an event,"I was so excited to stay here because of the history, but I’ve honestly never had a worse hotel experience. When we checked in we were told that there was a private event tonight and it might be loud outside the room we booked. My husband and I weren’t bothered, it’s downtown LA, I expect loud.

That did not end up being a problem, what did end up being a problem is that when we got back from our night out we had to wade through a packed crowd of teenagers (unmasked) to get to the front door where they asked if we had a key to prove we were staying there (we did) and that we needed to go around back to the valet entrance.

Did that, had to get through another crowd of teenagers to barricades they’d put up. Security asked to for our name and room number to check a list. Then they told us they already let in people who were staying in that room and that we couldn’t come in. Mind you all our things were already in our room. I had to stand there getting harassed while I argued with the security until the front desk manager who checked us in saw us and told them to let us in. 

Of course we got stopped (by being yelled at) two more times on our way to our room and had to show them my ID and key card.

I called the front desk once we finally got to our room and the man who answered was very sympathetic and did a lot to make me feel better. He told me he could definitely get me a $75 credit for food. Then he called back a couple minutes later to say he got the manager to give us $150 credit towards food and drinks. 

The next two days were uneventful, but of course we’ve checked out and didn’t have the credit applied so I’m about to call, yet again. 

The hotel itself is beautiful and the food and drinks were good, but staying there was an absolute ordeal that made our whole vacation stressful. We’ll definitely stay somewhere else when we come back next year.",,,,,,,,A H,Other,2021-11-29,"Dear Carissa,

We appreciate your candid review, which helps us in our continual quest for improvement. I apologize for the inconvenience you experienced getting into your room with  added security in place, and am glad we could make sure you felt welcome with a food and beverage credit. I will personally oversee making sure that credit gets applied to your final bill, and I do hope you both will consider joining us again one day, so that we might earn your full approval. 

Kind regards,
Don Jacinto, Managing Director",2
Elyse Myers,1,"Omaha, Nebraska",2021-11-30,BUSINESS,2021-11-22,5,"Incredible stay. Beautiful room, warm & friendly staff.","My stay at the Roosevelt was absolutely incredible! The staff was so helpful, and incredibly warm and welcoming. Beth and Tye were AMAZING!!! The room was beautiful and quiet. Learning about the history of the hotel was a treat, and I was really sad when my stay way over. I will for SURE be staying here again when I’m back in LA! You have to check it out!!","The main strip gets very busy, so drive into the valet/drop off area from the back road vs. from Hollywood Blvd.",,,,,,,A H,Other,2021-11-23,"Greetings Elyse,

We, too, were sad to see you depart! Thank you for sharing your kind words and many shout-outs...we will be sure to share your praise with Tye and Beth in particular. We love hearing from guests who appreciate our long-running role and history in Hollywood, and we are delighted to know you will be returning to see us the next time you are in the city. Until then!

Best regards,
Don Jacinto, Managing Director",0
