username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Teri B,1,,2021-11-30,NONE,2021-11-30,5,My GoTo Hotel in Solvang,"I love the Hotel Corque.  There is no other way to put it.  It is a great location within Solvang, quiet yet close to restaurants and attractions within the town.  The rooms are well appointed and very clean.  The bed is wonderfully comfortable too!  I've stayed here at least 10 times (I think I started coming here just after it opened) and it has not gotten run down with age.  The staff is always friendly and extremely helpful.  It is home away from home for me.","The rooms are quiet, even those facing Alisol Rd.",5.0,5.0,,5.0,,,,,,,0
Esther B,2,"San Diego, California",2021-10-31,NONE,2021-11-02,5,Excellent Stay,"We loved this hotel. Upon arrival, we were greeted by a friendly and helpful staff. The room was very clean and had a great layout. The bathroom had two separate sink areas with mirrors with Built-in LED Lights and even had a wall mounted make-up mirror. The beds were so comfortable that I had to call the hotel to find out the manufacturer so that I can purchase one. The location is perfect for walking everywhere.",,,5.0,5.0,5.0,,,,,,,0
blugini,21,"Orlando, Florida",2021-11-30,FRIENDS,2021-11-01,1,A couple minutes to Vacate the room,"My first impression of this hotel was a good one. The rooms are spacious and pillow comfy.  My review would have been very different if not for the customer/guest services issue I encountered  

Sometimes when we're on vacation, work calls as it did for me early November 1, 2021. I started working at 5am to help the team with an issue. Meanwhile my travel companion got up and went out to do the normal vacation things, like breakfast and shopping. I was in no way having fun or sleeping in. I was working from 5am - about 10:45-11am. The work issue resolved, I called the front desk explaining and asking for accomodations or a little later check out. I was told it was too bad I had to work, but they could not give me a late checkout. I was told I'd be given ""a couple minutes to gather your things and vacate the room"".  Seriously?!? I told the man in guest services that I'd do my best. 

So on top of an already wasted vacation day, I was now packing all our things, rushing to get dressed and get out or Vacate was the word he used. I know I left all my toiletries and some makeup in the room as I walked out in sock feet through the pool exit. Just to Vacate this hotel. 

If you're a normal person who occasionally has work pop up or any kind of unforseen occurrence, don't stay here. Oh and I ended up finishing getting dressed and doing my makeup/hair in the hotel parking lot. But at least I vacated the room. 
",,,,,,,,,,,,1
LeosMom2018,22,"Anchorage, Alaska",2021-09-30,NONE,2021-10-16,5,"Great hotel, super comfortable bed!","The hotel was easy to find and had ample parking.  Check-in was a breeze.  Room was very nice, super clean and quiet.  Walking distance to Solvang shops, bars, restaurants.  Pool is heated so enjoyed a swim on a chilly afternoon.  Hotel is very secure; must use your room key to access the elevator on the first floor.  Loved this place and will stay again.",,5.0,5.0,,5.0,,,,,,,2
mags5252,125,"Morro Bay, California",2021-09-30,NONE,2021-09-21,5,Get away,"We enjoyed our stay here.  It’s very clean and Covid protocol was taken seriously, which we appreciated.  Everyone was friendly and it’s located in a perfect location.  It’s walking distance to all the restaurants and shops so you never have to worry about parking.  ",,,,,,,,,,,,22
Val D,207,"Westlake Village, California",2021-09-30,NONE,2021-09-11,5,Fabulous Boutique Hotel,"In the midst of Solvang, Hotel Corque is a complete stand-out. This was our second visit, and they had seemingly done some remodel work during the pandemic. Our room was perfect, big, great shower, mini-fridge, water and coffee in the room. They did everything right.

Abby at the desk was courteous and professional, including helping us make reservations for another stay there.

This is the best place to stay in Solvang.",,,5.0,5.0,,5.0,,,,,,55
eyalmenachem,211,"Sunnyvale, California",2021-09-30,NONE,2021-09-08,5,"Wonderful hotel, great location","Visited Solvang for the first time with the family. This hotel's location is really great, right in the middle of downtown Solvang. The street is full with nice stores and bakeries. 
Hotel room was very nice, beds were comfy, nice big screen TV. Two sinks in the bathtub which was nice. There was no breakfast in the hotel, but there are many good breakfast places outside.",,,4.0,,5.0,5.0,,,,,,38
BdgtTravel305,588,"Miami, Florida",2021-08-31,FAMILY,2021-09-04,5,Excellent stay in enchanting Solvang,"This was our first visit to Solvang and this hotel was the perfect place to stay. Wonderful staff and amenities. 

Clean and contemporary rooms, very comfortable beds and plenty of spots to charge your electronics. Highly recommended.",,,,,,,,,,,,84
Raee D,4,,2021-08-31,FAMILY,2021-08-21,4,Pleasant stay,"This is our second stay at the Corque and it did not disappoint. The hotel was remodeled from the time of our last stay. Staff is friendly and very courteous. We enjoyed our stay and felt safe - staff and guests all wore masks, hand sanitizer stations everywhere, clean, contemporary and comfortable rooms, water bottles, coffee/tea/ cocoa in room and conveniently located. Definitely  recommend.",Plenty of parking,,,,,,,,,,,5
DrAwesomepants,19,California,2021-08-31,COUPLES,2021-08-18,5,This hotel is a must stay in Solvang!,First time in Solvang and this boutique hotel was the perfect choice! The staff and amenities were great! We stayed in the Grand Suite King room. The price per night was very reasonable. Absolutely loved it! My only critique is that I wish our balcony view was better (we faced a parking lot). Would definitely recommend this hotel for anyone staying in Solvang!,,,,,,,,,,,,16
