username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Mike K,29,"Luterbach, Switzerland",2021-11-30,COUPLES,2021-12-04,5,Perfect Choice in San Fran,Great Service and amazing attention to detail.  A wonderful surprise for my girlfriend awaited our arrival.  The room was very functional and the staff ever present with hints and tips.  Location was also perfect.  Great trip - highly recommend this hotel and a special shout out to Audra Ponce who made the room very special on my girlfriends birthday ❤️,,,,,,,,,,,,12
TaraBB,44,,2021-10-31,NONE,2021-10-12,5,"The location, the staff, the vibe & the value","Perfect stay. Location easily walkable from BART station, to cable car, restaurants, shopping. The vibe and decor of the hotel is so unique and every day we found something new to look at. The rooms were immaculate, the beds and bedding so comfortable. The upscale bathroom had plenty of room, and the shower had good water pressure. The AC was cold and it ran without the cycling on/off some hotels use that can be noisy/disruptive. Our room on the 7th floor was very solid and so quiet (no traffic noise outside, no hallway noise, no noise from adjacent room- We did not even know there were guests in the room next to us until we saw them leaving one morning). The hotel is a really good value and it was a bonus to have the bar and the coffee shop on site. Absolutely everywhere we turned, staff members were gracious, friendly, and helpful-- not only to us, but to other guests no matter how big or small the questions. They never seemed impatient/rushed/bothered. Special thanks to Orion for helping us out one evening--stellar service is what makes guests return to properties and we will certainly be back.",,,5.0,,5.0,5.0,,McClinton Heil,General Manager,2021-10-13,Thank you TaraBB for your positive feedback! The staff is very excited to see your review. I will definitely make sure to recognize Orion. We look forward to your return stay.,122
shnizelon,1,,2021-11-30,NONE,2021-12-04,5,Perfect Stay!,"We stayed at the hotel 26-28.11 as a couple for a birthday. 
Immediately upon arrival were upgraded to a larger room and received a bottle of wine.
Staff is professional and accomodating and the hotel itself is quiet and very modern.
A perfect stay!",,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0
Hunter M,1,,2021-12-31,COUPLES,2021-12-03,5,They made our engagement so much sweeter,"The team at Hotel Emblem went above and beyond to help me celebrate our engagement. Orion checked me in a few hours before the proposal and helped me set up a typewriter in the room, Audra brought so much excitement to the plan and even went so far as to set up balloons and wine glasses for us on the bed with a sign saying “she said yes!” — seriously can’t say enough about everyone on the team there. 11/10 service , food and overall experience. 

(also their in-house menu is DELICIOUS and had loads of vegetarian options as well)",,,,,,,,McClinton Heil,General Manager,2021-12-03,Thank you 359hunterm for recognizing Orion and Audra. I will definitely recognize them! We look forward to welcoming you back to the hotel in the near future. ,0
Dbvillar,1,"Sao Paulo, SP",2021-11-30,NONE,2021-12-01,5,Great boutique hotel in downtown area,Emblem is a great option for those who enjoy boutique hotels. It's very well located in the downtown area with many dining options and public transportation system near-by. Staff is very friendly and always ready to serve. Nice decorated and very clean. The only downside I had was with my sleep quality caused by the noises that came from the street during the nights. I guess this is an issue from the downtown area and not something to blame the Hotel for.,,5.0,5.0,3.0,5.0,5.0,5.0,McClinton Heil,General Manager,2021-12-01,Thank you dbvillar for your review. We look forward to welcoming you back to Hotel Emblem soon! ,0
erinechong,1,,2021-11-30,NONE,2021-11-30,5,Perfect SF Getaway,"Wonderful trip to SF and the Emblem hotel made it all the more special. Everyone was super friendly and helpful, they even gave us food recommendations at 11:30 at night when we needed to grab a late night snack. Can’t wait to stay here again!",,5.0,5.0,5.0,5.0,5.0,5.0,McClinton Heil,General Manager,2021-12-01,Thank you erinechong for your review. We appreciate you sharing your experience. Please let me know when you choose to return. ,0
Josh A.,1,,2021-11-30,NONE,2021-11-27,5,Great hotel and staff!,"The Emblem is a great hotel that is very clean and well kept with tastefully modernized rooms.  The staff and their customer service are wonderful.  Their director of rooms, Fungai, was especially very considerate and accommodating.  Our stay was very comfortable in every aspect and we'll definitely be returning.  This hotel offers everything we need - clean comfortable rooms, kind staff, great location, and good rates.",,5.0,5.0,,5.0,,,McClinton Heil,General Manager,2021-11-27,Thank you lbjosh for your review and recognizing Fungai. We look forward to your return to Hotel Emblem. ,0
mary I,1,,2021-11-30,FAMILY,2021-11-27,5,5 stars,"Amazing experience!  Very friendly and helpful staff. From the director of operations, Funai to receptionists , Audra and Stephanie, everyone were extremely friendly and welcoming. Loved the books in my room.The hotel has a lot of extra amenities.  My son and I enjoyed our stay. Thank you very much!",,,,,,,,McClinton Heil,General Manager,2021-11-27,"Thank you B6154FYmaryi for your review. I will definitely recognize Fungai, Audra and Stephanie. Please let me know when you choose to return. ",0
Mariana,376,"Raleigh, North Carolina",2021-11-30,COUPLES,2021-11-26,4,Good stay,"We spent 4 nights at The Emblem Hotel in San Francisco. We had a pretty good time, the room was clean and spacious. Hotel location is perfect, close to all transport options, such as Bart, Muni and cable car. I recommend staying at the hotel, specially for first time travelers.",,,,,,,,McClinton Heil,General Manager,2021-11-27,Thank you Maricdaher for your review. ,144
Emanuel P,1,,2021-11-30,FAMILY,2021-11-26,5,5 stars,"Great customer service, great room, great hotel. Would stay here again. Food and amenities were also great. Area is also great. Rooms are spacious and modernized. There are water bottle filling stations on every floor as well.",,,,,,,,McClinton Heil,General Manager,2021-11-27,Thank you emanuelp0924 for your amazing review. ,1
