username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
M. Soares,3,,2021-11-30,FAMILY,2021-12-04,5,I absolutely love this place!,We went on a girls trip for 5 days and stayed at the wonderful Hojo Anaheim. The holiday decor around the hotel was so magical! We stayed in the renovated building two and the rooms were so clean and stylish! I love the bright decor in the room and beds are dreamy! I love the close walk to Disneyland and the staff is so accommodating and kind! Definitely coming back!,,,,,,,,,,,,3
djneen,3,"El Cajon, California",2021-11-30,NONE,2021-11-24,5,Immeasurable kindness,"In December 2019 I participated in a little contest on Instagram and won a trip to Disneyland and hotel stay from HOJO  Anaheim Hotel & Water Playground. As we know 2020 everything shut down, including the hotels and Disneyland! The staff went above and beyond to help us postpone the trip over and over and never once did I feel like a burden. When we finally successfully scheduled the trip it was perfect. Our room was so clean, hotel was decorated for the holidays adorably and the bed!! We both slept so well we could have stayed all day. Haha. It’s a short walk to the Disneyland Resort and is close many other businesses. The pool and water playground were very clean as was the entire property. Thank you so much HOJO! You made our Magical Dreams come true!",,5.0,5.0,5.0,5.0,5.0,5.0,Hojo Anaheim,Guest Services / Front Office,2021-12-02,"Thank you for taking the time to review your recent stay with us, and congratulations on being one of our Giveaway winners! We are happy that you were finally able to stay with us and that you enjoyed our clean rooms and location to Disneyland. We hope you come to stay with us the next time you visit Anaheim!",0
Alyss P,16,"Kansas City, Missouri",2021-11-30,NONE,2021-11-24,5,Short Get Away,We stayed here during a quick trip to Disneyland.  The walk to the park is about 8-10 min depending on how quickly you walk.  All staff we encountered were incredibly friendly and helpful.  We were in building 2 near the garden pool.  The recently renovated room was clean and quiet during our trip.  ,,4.0,5.0,5.0,4.0,5.0,5.0,Hojo Anaheim,Guest Services / Front Office,2021-12-02,Thank you for taking the time to write a review about your recent stay with us. We are so glad to hear you appreciated our location and exceptional service. We really appreciate you taking the time to let us know about your stay. We hope to be your first choice for accommodations when planning your next Disneyland vacation!,1
maurissaallen,1,,2021-11-30,NONE,2021-11-24,5,"Welcoming, Clean & Close to Disneyland","Very clean rooms! Staff was welcoming and it’s a short walk to Disneyland. Definitely staying again! The newly renovated rooms are very nice and loved the balcony feature. The rooms are quiet, I could not hear anyone or the freeway near by. Definitely recommend.",,5.0,5.0,5.0,5.0,5.0,5.0,Hojo Anaheim,Guest Services / Front Office,2021-12-02,"Thank you so much for sharing your recent experience with us! We are so delighted to hear you enjoyed our clean, newly renovated rooms. We are so happy to hear you did not experience any outside noise during your stay and that our Staff were welcoming. Thank you so much for taking the time to write a review. We hope you keep us in mind when planning your next Disneyland vacation!",0
newkirkg,9,"Rexburg, Idaho",2021-11-30,FAMILY,2021-11-24,5,Disneyland vacation,"Excellent rooms, fun water play area for kids, with hot tub for adults. Definitely resort quality with all of the nearby amenities. And walking distance to Disneyland.

Plenty of parking. I had no problem finding a spot next to my room. Check-in was also easy, with plenty of check-in parking. All around, this is a great hotel.",California traffic is awful. Give yourself plenty of time and patience.,,,,,,,Hojo Anaheim,Guest Services / Front Office,2021-12-02,Thank you for taking the time to write a review about your recent stay with us. We are so glad to hear you appreciated our Cast Away Cove water playground. We are so delighted parking was easy and within close walking distance to Disneyland and nearby restaurants. We hope to be your first choice for accommodations when planning your next Disneyland vacation!,0
Wendy K,30,"Concord, California",2021-11-30,NONE,2021-11-23,5,Pleasant Surprise!,"I went with this hotel after seeing the sky high prices of the California Grand. We wanted to be within walking distance, and with more space/room since there were 3 of us. The fact that there were 2 bathrooms sealed the deal, so I reluctantly booked, not expecting much (I'm a bit of a hotel snob).   We went with the 2 bedroom which was a master with a king bed/bathroom and a bunk bed/2nd bathroom suite.  Best decision ever!  The hotel staff was super friendly and accommodating. This was a last minute trip and they still managed to get some birthday balloons for my daughter in our room even though the gift shop was closed.  Our room was recently updated. SUPER clean, PLENTY of room! After spending all day at the park, it was nice for all of us to have our ""space"" - you could just shut the bedroom door and it was almost like having separate adjoining rooms but without the risk.   Our daughter is 16, and that room had a bunk bed, couch, table, bathroom and TV.  we could have easily brought another friend.  Our room had a giant comfortable bed, tv, bathroom, and refrigerator.  The park was SUPER close.  easily walkable. There is a McDonalds on the way, so we quickly  would grab some breakfast.  There are also some other restaurants that we never ate it, but they are literally within a block or two.  there is a super cool pool/mini water park area but we never used it. We definitely would have had we stayed longer.  This will be my go to from now on.  Beyond happy.",,5.0,5.0,,,,5.0,Hojo Anaheim,Guest Services / Front Office,2021-12-02,"Thank you so much for giving us a try during your recent Disneyland vacation. We are so thrilled to hear you and your family had such a great time and really enjoyed our location. We're also glad to know that you found our location and amenities convenient to your visit to the park, and that you loved our spacious Kids Suite. We hope to be your first choice for accommodations when planning your next Disneyland vacation!",23
Kyle_10,90,"Modesto, California",2021-11-30,NONE,2021-11-22,5,Very pleased with this stay,"We've had a few different friends and coworkers recommend this hotel.  We go to Disneyland twice per year and have stayed at the Disneyland Hotel every time with the exception of this past May when we stayed at the Grand Californian.  When I went to book this past trip, I was shocked at how much prices have gone up at the Disney owned hotels.  I considered staying at Paradise Pier but even then the price just seemed like a lot and looking at the Howard Johnson it was distance wise no further than the Disneyland Hotel and price was a couple hundred dollars per night cheaper.

When we got here, check-in was super easy.  We were complimentary upgraded to a room with two queen size beds.  Parking was free the whole stay (not sure if that's typical) 

We really didn't do anything other than sleep, shower, and dress there.  I can't tell you much about the pool/water park etc.  But the room was clean.  It was themed for Disneyland with paintings of Mickey on the walls.  The TV had Youtube and Netflix available on it.  The walk took us right past Panera and McDonalds as well as a little convenience store where we bought bottled waters and snacks for our daughter on the way back from the parks each night.

Honestly, we didn't think the actual room at the Grand Californian was any nicer than the room at the Howard Johnson.  The lobby is nothing magical but who cares?  Save yourself hundreds of dollars and spend it in the park on a nice meal or merch.",,,5.0,,,5.0,5.0,,,,,68
jgraham8420,1,"West Jordan, Utah",2021-10-31,NONE,2021-11-20,5,The perfect piece of Disney… without staying on Disney property,"Super clean, conveniently close to Disneyland. Short walk. Very family friendly. Adorable decor in renovated rooms (building 2). Staff was very kind and helpful. 
Only con I would say is that the cell reception wasn’t that great inside the building. I never connected to the hotel wifi, but I had to walk out into the parking lot in the morning just before 7am to secure tickets for rise of the resistance and Spider-Man each day. I wasn’t the only one in the parking lot either, there was several other people doing the same thing. All that said I would definitely stay here again, had a wonderful experience. ",,,,,,,,,,,,0
trodig734518,1,,2021-11-30,NONE,2021-11-19,5,Nice place,We enjoyed our stay very much. We were able to walk to Disneyland. I was very disappointed they did not have breakfast though. They could have served frozen breakfast sandwiches and fruit if nothing else.,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0
DCEowner,290,"New Lenox, Illinois",2021-11-30,COUPLES,2021-11-19,5,Fabulous Hotel w/water park-walking distance to Disney,"We stayed in building two and we had lovely renovated rooms with a touch of Mickey Mouse in the decorating. The hotel was very clean, friendly, and super close to Disneyland. It was unusually hot for November and we were lucky that we could come back to the hotel since it was so close to the park. It was just a 10 minute walk and we could stop by Panera and McDonald's on the way. At first we were a little put off by the pool reservation system. When we arrived and tried to reserve A time slot (they were in two hour increments with a half hour gap between sessions), there were no available times for all five days we were going to be there at the waterpark except for 8 o'clock to 10:00 PM when it was getting cold and our little kids would be tired. We did find out that you can call or check in at either of the pools a half hour after the session starts. If people didn't show up for their reserved time, you could then go in. That way we were able to get in anytime we wanted. Overall, the place was wonderful! It even had cute Christmas decorations and a lovely giant tree. There is a little store on site with snacks, souvenirs, and necessities.",Make your free pool reservations before arriving!,,,,,,,,,,,98
LifeWithFabiee,1,,2021-11-30,NONE,2021-11-18,5,Magical Hotel,"We are big Disney fans. We moved out of state and had not been to Disneyland/DCA since my son was 5, he is now 8. We looked for a hotel that was close but didn’t know it was only 8 minutes away (walking distance) we walked to the theme parks and back everyday while we where there. The renovated rooms are Disney themed which we loved. Also loved that there are plenty of places to dine also walking distance. I totally recommend this hotel. You won’t be disappointed. 
Make sure you check out paradise cove during your stay. My son loved it ",,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0
Nerezza42,1,,2021-11-30,NONE,2021-11-17,5,Best hotel I've visited so far.,"My room had arches in the ceiling that let in natural light which I enjoyed, the window had an amazing view out to the front area of the hotel which had a beautiful Christmas tree. Only a slight problem with the bathrooms overhead but overall the best hotel experience I've had yet!",,5.0,5.0,5.0,5.0,4.0,5.0,,,,,0
Brett L,24,,2021-11-30,NONE,2021-11-17,4,Good overall stay,Great proximity to Disneyland.  Rooms were dated but clean and a good size.  A little Covid paranoid with the pool reservation system.  Would have been nicer with more flexibility.  But otherwise no complaints.  Would stay there agin.,,4.0,5.0,5.0,5.0,4.0,5.0,,,,,19
dizney71,4,"Vancouver, Canada",2021-11-30,COUPLES,2021-11-15,3,Not all it’s cracked up to be,"Old, worn down, in need of some renos!  Noisy, you can hear everything from rooms above and the doors slamming in the halls will wake the deepest sleepers.  Only good thing was it was close to Disney.  Vending machines did not work so if you wanted a drink you had to use Uber to get anything.",,,,,,,,,,,,3
jewel02472017,12,"Los Angeles, California",2021-11-30,FAMILY,2021-11-15,3,Freezing water park,"This was our second time at this hotel so we knew what to expect…booking the pool, due to covid etc. We were really looking forward to the pirate ship with the kids during a random mini heat wave in November.
But the water was freeeezing! Many kids had a hard time getting in. Most wanted to sit in the hot tub. Way different than our previous experience. We were not able to enjoy it. 
Mentioned it to the staff at the pool, at check out and email but everyone seemed to brush aside.
Also, had no idea about a new parking fee they just started… $23/night. That caught us off guard.
Don’t think we’ll be back.",,,,,,,,,,,,2
markkid2021,1,,2021-11-30,NONE,2021-11-15,5,Disney trip,Great place to stay when visiting Disneyland.  The staff was very friendly and helpful even when I had to make some changes.  The rooms were airy and they did a great job of keeping them clean and fresh.  ,,,,,,,,,,,,0
Jasmin R,1,,2021-11-30,BUSINESS,2021-11-15,5,BEST SERVICE,"I stay at the Hojo every time I visit Disney for Dapperday! This hotel is literally walking distance from everything, the service is always amazing, the rooms are always spotless, and  has such a cool retro vibe! There’s also a great restaurant across the street called Mimi’s and it has the best food compared to other places on Harbor. Definitely stay here if you want an amazing, comfortable, and easy place to stay for the Disney Parks.❤️",,,,,,,,,,,,0
David Susan,1,,2021-10-31,NONE,2021-11-13,3,Not for a family of 5,"For the most part the hotel is good, the location is great, and the staff are friendly. The walk to the Disney park gates is less than 10 minutes, with a few places to grab breakfast on the way by. 
Why 3 stars??? This hotel is set up to accommodate young families or maximum 4 in a room. We booked through our airline as part of a package including both hotel and airfare. When the booking was made we were reassured that 5 people could fit into the rooms and each person would fit. At check in we were assigned a room with 2 queen sized beds and informed that rollaway beds were an extra charge. With 2 adults and 3 adolescents in a room there was no way we would fit in 2 queen beds. 
The issue with the beds was likely our airline's fault, versus the hotel's, and the hotel did end up providing the rollaway cot for free. Unfortunately, the size of the room and potential extra cost for a rollaway bed makes this hotel more suited for maximum of 4 in a room. Next trip, we will be looking at other hotels in the area that have a better selection of rooms for larger families. Very sad about this as this has previously been a favorite of our family. 
A few other things to be aware of...
The pool/water playground need to be booked in advance due to COVID. Only 1 booking can be made per room per day. Again, having 5 people in a room made booking difficult as the system is only set up for 4 people. The hot tub is in the water playground area, so if you want a soak in hot water after the park you need to book there. There is not a way to use both the pool and the hot tub on the same day. Also, those under 16 are not allowed in the pool/water playground without an adult, no exceptions. Again, not very friendly for those kids that are old enough to be somewhat independent. 
A parking fee is now charged per night, we booked prior to this announcement so did not have to pay the fee this time. 
My suggestion to the hotel: put some bunkbeds that have a double on the bottom and single on the top to fit 5 people. 
Thank you for reading!",,3.0,4.0,3.0,,,,,,,,0
cali2992,9,"Chula Vista, California",2021-06-30,NONE,2021-11-13,5,Every time we stay here it is excellent!,"We have been staying here for 10 years as its our go two place when we visit Disneyland. We have at least a half dozen hotels we stay in in the area for our visits but HJ is our favorite. Excellent parking policy, great staff, always accommodating, excellent location - easy short walk to the parks, DTD, Garden Walk. And very clean which is important in todays times.",,3.0,5.0,,,,,,,,,2
markT9700JM,1,"Nevada City, California",2021-11-30,NONE,2021-11-11,5,Great place to stay for a trip to Disneyland.,"We had a wonderful stay at this hotel. I was impressed by how friendly and attentive the staff were. They really care about their guests. We greatly appreciated the close proximity to the Disney main gate. And there are a good number of restaurants nearby within easy walking distance. Parking was fine, with enough space between cars to avoid getting a door ding. We’ll be staying here again on our next visit. ",,,,,,,,,,,,0
