username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
shellyadk,1,,2021-12-31,NONE,2021-12-04,1,Not pet friendly and very dirty.,"Picked this property as it advertises as being pet friendly. What we found is it's more pet ""tolerant"" than friendly.  There is no a green area for the pets, there is a ~50sq Ft area of AstroTurf right in front of some of the rooms and that's it.  The room was decent for an older property but was filthy.  They have cards posted in the room stating that they only clean every three days, apparently that does not include between guests.  We had hair on the walls and ceiling in the bathroom, unknown ""stuff"" on the walls, hand prints and smudges on the widows and mirrors, a thick layer of dust on the shelves, mold on the patio door frame, and what appeared to be blood on the bathroom floor and mirror.  We requested a cleaning and more soap, what we received was the bed being made and the towels replaced, but no cleaning and no soap.  I would not stay there again and encourage others to look elsewhere.",,1.0,2.0,3.0,4.0,3.0,1.0,,,,,0
ccarpent,2,,2021-08-31,NONE,2021-08-18,5,A Piece of Heaven on Earth,"This hotel was the perfect place to get away for a few days,soak in the magnificence of the Pacific, and leave all worries behind. The staff was wonderful, the bed was comfortable, the room pristine, and the breakfast was delicious. Plenty of places to hike along the beach and in the area, and one of the best restaurants overlooking the ocean right next door. ",,4.0,5.0,5.0,5.0,5.0,5.0,,,,,0
Christine C,4,"Simi Valley, California",2021-12-31,NONE,2021-12-04,5,Beautiful Getaway,"My husband and I took a mid-week trip to Pismo Beach and stayed in a 3rd floor room with beautiful views of the ocean and wildlife. We enjoyed walking along the cliff top path and bridge with stairs down to the ocean. At low tide you can explore sea caves along the base of the cliff. The room was very nicely furnished and comfortable, and the continental breakfast is more like a full breakfast with many ot and cold choices. I would definitely stay again.",,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0
ejess2021,1,,2021-12-31,NONE,2021-12-02,5,Staff is great! Clean comfortable room,I have stayed here before as a single women traveling. This time I stayed with my frenchie. Had a great experience. Clean comfortable room and everyone is so nice! I would recommend. The continental breakfast was a nice touch :),,,,,,,,,,,,0
cer0sales,1,"Thousand Oaks, California",2021-11-30,NONE,2021-12-01,5,"Great place, great town .","Great place, great view. Walking distance from downtown and all the Shoppes and the pier. I highly recommend this place, confortable, clean and breakfast and wifi included. . Romantic if you are trying to impress your significant other.",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-12-04,"Thank you for choosing to stay with us!  I am thrilled that you enjoyed your visit with us and am very appreciative about you highly recommending us to others.  We look forward to welcoming you back soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
daliansam,1,"Chino Hills, California",2021-11-30,NONE,2021-11-29,5,great place for family vacation,"great location and great views (ocean front), and great services, a lots of fun activities to do within walkable distance. the included breakfast is convenient and satisfying. parking was easy and convenient. there is a good restaurant next door which also comes handy if you want to just relax and order some food to go. ",,5.0,5.0,5.0,5.0,5.0,5.0,Tina Jenkins,Guest Services / Front Office,2021-12-02,"Thank you for staying with us and for sharing your review.  We are glad to hear you enjoyed so much of all our property and the beautiful Pismo Beach area has to offer.  We hope to welcome you back for another visit soon!

With Hospitality,
Tina Jenkins
Guest Services Supervisor",0
mandyd37333,1,,2021-11-30,NONE,2021-11-29,5,Beautiful and Thoughtful,"I was visiting to celebrate an anniversary and requested the rose petals on the bed. When we checked in, we were blown away by the effort the staff put into putting it together! There were towel swans on the bed, along with a card, and the sprinkled rose petals arranged in a heart around it. There was also a surprise bottle of sparkling cider, which we enjoyed while watching the beautiful view of the sunset from the balcony. Thank you Shore Cliff for all the effort you put into making this a truly magical, memorable stay for us!",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-12-02,"Thank you for taking the time to share your 5 star experience with all of us on TripAdvisor.  I am so happy to hear your Anniversary celebration was a memorable one.  We are looking forward to welcoming you back for another super visit.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
Weiwei Z,4,"Palo Alto, California",2021-11-30,NONE,2021-11-28,5,Nice stay,Very clean oceanfront property with great view. Staff is very friendly and helpful. Breakfast is awesome. Will come back again. The only complaint is the AC in the room. AC was pretty noisy when functioning.,,5.0,5.0,4.0,5.0,4.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-29,"Thank you for providing us with your review.  I'm so happy that you enjoyed a ""Nice stay"".  We appreciate you letting us know about the A/C unit.  I would like to know what room you had stayed in, so I can send our Maintenance team to check on the unit.  You can contact me directly at the hotel.  Looking forward to welcoming you back on a future visit.

With Hospitality,
Lulu Lawag
Guest Service Manager",3
phibbs566007,1,,2021-11-30,NONE,2021-11-27,5,"Exceptional staff, clean comfortable rooms, great location","Book room with pier or ocean view balcony, watch sunrise from very comfortable large bed..
Ventana grill next door was incredible, food was fresh and healthy, everything perfectly cooked. 
Hotel breakfast was minimal selection, quick snack appreciated to hold us over until we found a restaurant",,5.0,5.0,5.0,5.0,5.0,5.0,Lulu Lawag,Guest Services / Front Office,2021-11-29,"Thank you for taking the time to provide us with your feedback.  I'm so happy to hear you enjoyed watching the sunrise from your room.  The colors that are seen from our location are spectacular.  Come back and visit us again soon!

With Hospitality,
Lulu Lawag
Guest Services Manager",0
amyk122021,1,,2021-11-30,NONE,2021-11-23,2,Overpriced,"Was hoping this place would be amazing and it just wasn't. If I had paid a normal hotel rate, I would not have been unhappy but this place charges double anyone else. And it's just like any average hotel, nothing special about it. No food nearby and ocean views we had were only of a body of water, not beach or wave views. ",,1.0,3.0,4.0,2.0,3.0,3.0,Lulu Lawag,Guest Services / Front Office,2021-11-26,"I'm so sorry to hear your experience at our hotel was not satisfactory.  It sounds like you were in our oceanfront room that looks straight out into the Pacific Ocean.  We are located on a 90 foot cliff and we offer three different views to choose from.  I apologize you did not find our views to your liking.  We hope you give us another chance and stay in one of our different view rooms.

With Hospitality,
Lulu Lawag
Guest Services Manager",0
